flight_id,aircraft_type,arrival_time,scheduled_departure,position,passenger_count,is_international,arrival_delay_minutes,actual_arrival,equipment_failure,failed_task,date,day_of_week,is_weekend
FL01010025,A321,2024-01-01 08:29:11,2024-01-01 09:29:11,terminal_C_gate_1,220,True,6.210940768387793,2024-01-01 08:35:23.656446104,False,,2024-01-01,Monday,False
FL01010048,B737,2024-01-01 08:36:50,2024-01-01 09:30:50,terminal_B_gate_2,189,True,15.238468555841598,2024-01-01 08:52:04.308113348,True,refueling,2024-01-01,Monday,False
FL01010074,A320,2024-01-01 08:50:03,2024-01-01 09:44:03,terminal_B_gate_8,180,False,16.46229799713786,2024-01-01 09:06:30.737879826,False,,2024-01-01,Monday,False
FL01010052,B737,2024-01-01 08:51:26,2024-01-01 09:45:26,remote_stand_15,189,True,13.390791614564133,2024-01-01 09:04:49.447496876,False,,2024-01-01,Monday,False
FL01010035,A320,2024-01-01 08:55:06,2024-01-01 09:49:06,terminal_C_gate_1,180,True,12.67840433417729,2024-01-01 09:07:46.704260052,False,,2024-01-01,Monday,False
FL01010069,A321,2024-01-01 08:59:17,2024-01-01 09:59:17,terminal_A_gate_11,220,True,12.037539693584202,2024-01-01 09:11:19.252381616,False,,2024-01-01,Monday,False
FL01010083,B737,2024-01-01 09:09:25,2024-01-01 10:03:25,remote_stand_14,189,True,2.5626935181561987,2024-01-01 09:11:58.761611092,False,,2024-01-01,Monday,False
FL01010082,A320,2024-01-01 09:13:16,2024-01-01 10:07:16,terminal_A_gate_1,180,True,1.2651834251982153,2024-01-01 09:14:31.911005512,False,,2024-01-01,Monday,False
FL01010073,B777,2024-01-01 09:19:25,2024-01-01 11:07:25,terminal_D_gate_5,396,True,4.145956227518754,2024-01-01 09:23:33.757373650,False,,2024-01-01,Monday,False
FL01010087,B737,2024-01-01 09:29:54,2024-01-01 10:23:54,terminal_B_gate_10,189,False,6.303300976026072,2024-01-01 09:36:12.198058560,False,,2024-01-01,Monday,False
FL01010054,B737,2024-01-01 09:36:22,2024-01-01 10:30:22,terminal_B_gate_1,189,False,4.613741021257717,2024-01-01 09:40:58.824461278,False,,2024-01-01,Monday,False
FL01010111,A320,2024-01-01 09:40:59,2024-01-01 10:34:59,terminal_B_gate_2,180,True,11.243471265110633,2024-01-01 09:52:13.608275906,False,,2024-01-01,Monday,False
FL01010050,B737,2024-01-01 09:42:59,2024-01-01 10:36:59,remote_stand_7,189,False,6.725987481790709,2024-01-01 09:49:42.559248908,False,,2024-01-01,Monday,False
FL01010027,B737,2024-01-01 09:50:47,2024-01-01 10:44:47,terminal_A_gate_12,189,True,9.607926342461688,2024-01-01 10:00:23.475580550,False,,2024-01-01,Monday,False
FL01010044,A321,2024-01-01 09:54:17,2024-01-01 10:54:17,terminal_A_gate_9,220,True,5.895990383179384,2024-01-01 10:00:10.759422992,False,,2024-01-01,Monday,False
FL01010006,A350,2024-01-01 10:29:19,2024-01-01 12:11:19,terminal_B_gate_10,366,False,14.025745594040181,2024-01-01 10:43:20.544735640,False,,2024-01-01,Monday,False
FL01010002,A320,2024-01-01 10:30:14,2024-01-01 11:24:14,terminal_B_gate_2,180,True,4.899794898940182,2024-01-01 10:35:07.987693934,False,,2024-01-01,Monday,False
FL01010008,B737,2024-01-01 11:26:39,2024-01-01 12:20:39,remote_stand_2,189,True,18.166495396226605,2024-01-01 11:44:48.989723772,False,,2024-01-01,Monday,False
FL01010000,B737,2024-01-01 11:51:57,2024-01-01 12:45:57,terminal_A_gate_5,189,True,9.55236559768452,2024-01-01 12:01:30.141935862,False,,2024-01-01,Monday,False
FL01010022,B737,2024-01-01 12:18:20,2024-01-01 13:12:20,terminal_A_gate_7,189,True,14.957856494485462,2024-01-01 12:33:17.471389670,False,,2024-01-01,Monday,False
FL01010076,A320,2024-01-01 12:33:02,2024-01-01 13:27:02,terminal_D_gate_5,180,True,18.80612832411517,2024-01-01 12:51:50.367699446,False,,2024-01-01,Monday,False
FL01010041,B737,2024-01-01 12:36:43,2024-01-01 13:30:43,terminal_A_gate_5,189,True,10.38471435209428,2024-01-01 12:47:06.082861126,False,,2024-01-01,Monday,False
FL01010020,A321,2024-01-01 12:52:29,2024-01-01 13:52:29,terminal_C_gate_1,220,True,8.998817125902352,2024-01-01 13:01:28.929027554,False,,2024-01-01,Monday,False
FL01010004,A320,2024-01-01 13:06:34,2024-01-01 14:00:34,terminal_B_gate_4,180,True,4.957311052049746,2024-01-01 13:11:31.438663120,True,catering,2024-01-01,Monday,False
FL01010029,B737,2024-01-01 13:07:05,2024-01-01 14:01:05,terminal_A_gate_11,189,True,2.9016882020952366,2024-01-01 13:09:59.101292126,False,,2024-01-01,Monday,False
FL01010089,A320,2024-01-01 13:15:57,2024-01-01 14:09:57,remote_stand_8,180,True,19.238660943091045,2024-01-01 13:35:11.319656586,False,,2024-01-01,Monday,False
FL01010049,A320,2024-01-01 13:18:43,2024-01-01 14:12:43,terminal_D_gate_2,180,True,14.168950317611575,2024-01-01 13:32:53.137019056,False,,2024-01-01,Monday,False
FL01010086,A350,2024-01-01 13:33:46,2024-01-01 15:15:46,terminal_D_gate_4,366,True,13.732770909457802,2024-01-01 13:47:29.966254570,False,,2024-01-01,Monday,False
FL01010016,A350,2024-01-01 13:36:22,2024-01-01 15:18:22,terminal_A_gate_5,366,True,4.128313392627529,2024-01-01 13:40:29.698803556,False,,2024-01-01,Monday,False
FL01010075,A320,2024-01-01 13:39:59,2024-01-01 14:33:59,terminal_A_gate_1,180,False,20.561393436519268,2024-01-01 14:00:32.683606189,False,,2024-01-01,Monday,False
FL01010055,B737,2024-01-01 13:42:46,2024-01-01 14:36:46,remote_stand_6,189,True,0.4494804006195314,2024-01-01 13:43:12.968824036,False,,2024-01-01,Monday,False
FL01010037,A320,2024-01-01 13:47:37,2024-01-01 14:41:37,terminal_D_gate_2,180,False,2.1859749474241013,2024-01-01 13:49:48.158496844,False,,2024-01-01,Monday,False
FL01010062,B737,2024-01-01 13:53:00,2024-01-01 14:47:00,remote_stand_14,189,False,12.00192486458058,2024-01-01 14:05:00.115491876,False,,2024-01-01,Monday,False
FL01010057,B737,2024-01-01 14:21:39,2024-01-01 15:15:39,remote_stand_3,189,True,5.7680463873850325,2024-01-01 14:27:25.082783244,False,,2024-01-01,Monday,False
FL01010047,A320,2024-01-01 14:56:22,2024-01-01 15:50:22,terminal_B_gate_1,180,True,3.0905868975905797,2024-01-01 14:59:27.435213856,False,,2024-01-01,Monday,False
FL01010060,B737,2024-01-01 15:30:15,2024-01-01 16:24:15,remote_stand_10,189,False,2.1763297841055156,2024-01-01 15:32:25.579787046,False,,2024-01-01,Monday,False
FL01010007,B777,2024-01-01 15:45:47,2024-01-01 17:33:47,terminal_D_gate_4,396,True,9.026690969495487,2024-01-01 15:54:48.601458170,False,,2024-01-01,Monday,False
FL01010084,B737,2024-01-01 16:02:05,2024-01-01 16:56:05,terminal_B_gate_1,189,False,14.537422199333108,2024-01-01 16:16:37.245331958,False,,2024-01-01,Monday,False
FL01010017,A320,2024-01-01 16:04:06,2024-01-01 16:58:06,terminal_D_gate_3,180,False,4.477994937882273,2024-01-01 16:08:34.679696274,False,,2024-01-01,Monday,False
FL01010066,B777,2024-01-01 16:29:49,2024-01-01 18:17:49,terminal_D_gate_2,396,True,5.335899949761963,2024-01-01 16:35:09.153996988,False,,2024-01-01,Monday,False
FL01010005,A320,2024-01-01 17:27:19,2024-01-01 18:21:19,terminal_A_gate_8,180,False,9.083152383824945,2024-01-01 17:36:23.989143028,False,,2024-01-01,Monday,False
FL01010039,A321,2024-01-01 18:02:46,2024-01-01 19:02:46,terminal_B_gate_1,220,True,2.7278781053636507,2024-01-01 18:05:29.672686324,False,,2024-01-01,Monday,False
FL01010028,A320,2024-01-01 18:03:44,2024-01-01 18:57:44,terminal_C_gate_5,180,True,9.525478088390862,2024-01-01 18:13:15.528685304,False,,2024-01-01,Monday,False
FL01010056,A320,2024-01-01 18:06:28,2024-01-01 19:00:28,terminal_A_gate_10,180,True,27.70418477116145,2024-01-01 18:34:10.251086272,False,,2024-01-01,Monday,False
FL01010065,B777,2024-01-01 18:09:34,2024-01-01 19:57:34,terminal_D_gate_1,396,True,10.30236437455104,2024-01-01 18:19:52.141862476,False,,2024-01-01,Monday,False
FL01010030,A321,2024-01-01 18:10:35,2024-01-01 19:10:35,terminal_B_gate_8,220,False,8.171076826312062,2024-01-01 18:18:45.264609578,False,,2024-01-01,Monday,False
FL01010036,A320,2024-01-01 18:15:06,2024-01-01 19:09:06,terminal_D_gate_3,180,True,4.1214285383665485,2024-01-01 18:19:13.285712304,False,,2024-01-01,Monday,False
FL01010019,B737,2024-01-01 18:22:34,2024-01-01 19:16:34,terminal_B_gate_10,189,True,5.247579380752621,2024-01-01 18:27:48.854762848,False,,2024-01-01,Monday,False
FL01010085,A320,2024-01-01 18:24:17,2024-01-01 19:18:17,terminal_B_gate_5,180,True,4.4217582861462015,2024-01-01 18:28:42.305497166,False,,2024-01-01,Monday,False
FL01010043,B737,2024-01-01 18:26:11,2024-01-01 19:20:11,terminal_A_gate_3,189,False,23.961529094566984,2024-01-01 18:50:08.691745676,False,,2024-01-01,Monday,False
FL01010024,B777,2024-01-01 18:35:15,2024-01-01 20:23:15,terminal_C_gate_4,396,True,7.436731222670052,2024-01-01 18:42:41.203873362,False,,2024-01-01,Monday,False
FL01010009,A350,2024-01-01 18:37:10,2024-01-01 20:19:10,terminal_C_gate_7,366,True,9.601963749999353,2024-01-01 18:46:46.117825000,False,,2024-01-01,Monday,False
FL01010105,A320,2024-01-01 18:38:51,2024-01-01 19:32:51,remote_stand_1,180,False,2.8200386364257337,2024-01-01 18:41:40.202318184,False,,2024-01-01,Monday,False
FL01010012,A321,2024-01-01 18:52:10,2024-01-01 19:52:10,terminal_B_gate_1,220,False,8.341833474330869,2024-01-01 19:00:30.510008458,False,,2024-01-01,Monday,False
FL01010059,A320,2024-01-01 18:53:18,2024-01-01 19:47:18,terminal_A_gate_5,180,True,6.584860702911209,2024-01-01 18:59:53.091642174,False,,2024-01-01,Monday,False
FL01010098,A321,2024-01-01 18:58:46,2024-01-01 19:58:46,terminal_B_gate_1,220,False,17.844129709910728,2024-01-01 19:16:36.647782594,True,cargo_unload,2024-01-01,Monday,False
FL01010013,A320,2024-01-01 18:58:57,2024-01-01 19:52:57,terminal_A_gate_3,180,False,3.891151904483886,2024-01-01 19:02:50.469114270,True,catering,2024-01-01,Monday,False
FL01010068,A321,2024-01-01 19:01:00,2024-01-01 20:01:00,terminal_D_gate_5,220,True,10.77037534275285,2024-01-01 19:11:46.222520568,False,,2024-01-01,Monday,False
FL01010081,B737,2024-01-01 19:04:25,2024-01-01 19:58:25,terminal_A_gate_1,189,False,2.8055935893280006,2024-01-01 19:07:13.335615358,False,,2024-01-01,Monday,False
FL01010003,B737,2024-01-01 19:04:39,2024-01-01 19:58:39,terminal_B_gate_2,189,False,5.420469193076032,2024-01-01 19:10:04.228151586,False,,2024-01-01,Monday,False
FL01010110,B737,2024-01-01 19:08:41,2024-01-01 20:02:41,terminal_D_gate_2,189,True,8.067889829251776,2024-01-01 19:16:45.073389757,False,,2024-01-01,Monday,False
FL01010067,B737,2024-01-01 19:11:16,2024-01-01 20:05:16,terminal_C_gate_8,189,True,10.402896548853084,2024-01-01 19:21:40.173792934,False,,2024-01-01,Monday,False
FL01010072,B777,2024-01-01 19:12:02,2024-01-01 21:00:02,terminal_D_gate_3,396,False,5.344364324092084,2024-01-01 19:17:22.661859446,True,refueling,2024-01-01,Monday,False
FL01010102,A320,2024-01-01 19:22:03,2024-01-01 20:16:03,terminal_B_gate_4,180,True,5.289404358102794,2024-01-01 19:27:20.364261486,False,,2024-01-01,Monday,False
FL01010038,A320,2024-01-01 19:25:50,2024-01-01 20:19:50,remote_stand_4,180,True,1.488146213186026,2024-01-01 19:27:19.288772792,False,,2024-01-01,Monday,False
FL01010100,A320,2024-01-01 19:26:54,2024-01-01 20:20:54,terminal_B_gate_7,180,True,25.300014396853975,2024-01-01 19:52:12.000863814,False,,2024-01-01,Monday,False
FL01010045,A320,2024-01-01 19:32:17,2024-01-01 20:26:17,terminal_B_gate_10,180,False,7.760876488539487,2024-01-01 19:40:02.652589310,False,,2024-01-01,Monday,False
FL01010040,B737,2024-01-01 19:33:40,2024-01-01 20:27:40,remote_stand_6,189,True,11.692100098383293,2024-01-01 19:45:21.526005904,False,,2024-01-01,Monday,False
FL01010095,A320,2024-01-01 19:41:43,2024-01-01 20:35:43,terminal_D_gate_6,180,True,21.55475725391353,2024-01-01 20:03:16.285435234,False,,2024-01-01,Monday,False
FL01010011,A320,2024-01-01 19:47:30,2024-01-01 20:41:30,terminal_A_gate_10,180,False,7.313798439046533,2024-01-01 19:54:48.827906340,False,,2024-01-01,Monday,False
FL01010078,A320,2024-01-01 19:47:39,2024-01-01 20:41:39,terminal_C_gate_6,180,True,11.543647755268555,2024-01-01 19:59:11.618865318,False,,2024-01-01,Monday,False
FL01010064,B737,2024-01-01 19:48:11,2024-01-01 20:42:11,remote_stand_12,189,False,5.8954464209193915,2024-01-01 19:54:04.726785254,False,,2024-01-01,Monday,False
FL01010053,B737,2024-01-01 19:55:34,2024-01-01 20:49:34,terminal_A_gate_10,189,True,7.183273243402155,2024-01-01 20:02:44.996394604,False,,2024-01-01,Monday,False
FL01010021,B777,2024-01-01 20:07:47,2024-01-01 21:55:47,terminal_B_gate_10,396,True,9.33502427627636,2024-01-01 20:17:07.101456578,False,,2024-01-01,Monday,False
FL01010018,B777,2024-01-01 20:07:53,2024-01-01 21:55:53,terminal_A_gate_5,396,False,7.832078073785569,2024-01-01 20:15:42.924684428,False,,2024-01-01,Monday,False
FL01010079,A320,2024-01-01 20:10:47,2024-01-01 21:04:47,terminal_D_gate_1,180,False,4.1326132010200105,2024-01-01 20:14:54.956792060,False,,2024-01-01,Monday,False
FL01010051,B777,2024-01-01 20:25:14,2024-01-01 22:13:14,terminal_A_gate_1,396,True,5.622688659881697,2024-01-01 20:30:51.361319594,False,,2024-01-01,Monday,False
FL01010091,B737,2024-01-01 20:31:24,2024-01-01 21:25:24,terminal_B_gate_4,189,False,2.1106952189207964,2024-01-01 20:33:30.641713134,False,,2024-01-01,Monday,False
FL01010026,A350,2024-01-01 20:33:25,2024-01-01 22:15:25,terminal_D_gate_5,366,True,5.574002937189109,2024-01-01 20:38:59.440176232,True,refueling,2024-01-01,Monday,False
FL01010061,A320,2024-01-01 20:37:11,2024-01-01 21:31:11,terminal_D_gate_5,180,True,4.203741373601496,2024-01-01 20:41:23.224482416,False,,2024-01-01,Monday,False
FL01010088,B777,2024-01-01 20:38:20,2024-01-01 22:26:20,terminal_C_gate_1,396,False,6.754263647109694,2024-01-01 20:45:05.255818826,False,,2024-01-01,Monday,False
FL01010109,A320,2024-01-01 20:39:08,2024-01-01 21:33:08,terminal_C_gate_3,180,True,7.878066996057002,2024-01-01 20:47:00.684019766,False,,2024-01-01,Monday,False
FL01010033,B777,2024-01-01 20:42:38,2024-01-01 22:30:38,terminal_B_gate_6,396,False,5.968676217218376,2024-01-01 20:48:36.120573032,False,,2024-01-01,Monday,False
FL01010032,B777,2024-01-01 20:45:17,2024-01-01 22:33:17,terminal_A_gate_2,396,False,24.829241620535825,2024-01-01 21:10:06.754497230,False,,2024-01-01,Monday,False
FL01010014,A320,2024-01-01 20:46:06,2024-01-01 21:40:06,remote_stand_4,180,False,0.5598210514931152,2024-01-01 20:46:39.589263090,False,,2024-01-01,Monday,False
FL01010104,A320,2024-01-01 20:53:12,2024-01-01 21:47:12,terminal_A_gate_3,180,True,5.242651417884641,2024-01-01 20:58:26.559085074,False,,2024-01-01,Monday,False
FL01010093,A320,2024-01-01 20:56:34,2024-01-01 21:50:34,terminal_D_gate_5,180,True,16.405773089991126,2024-01-01 21:12:58.346385400,False,,2024-01-01,Monday,False
FL01010101,A320,2024-01-01 21:06:43,2024-01-01 22:00:43,remote_stand_12,180,True,12.474029041487125,2024-01-01 21:19:11.441742490,False,,2024-01-01,Monday,False
FL01010034,B737,2024-01-01 21:11:38,2024-01-01 22:05:38,terminal_B_gate_3,189,False,0.7904918579627127,2024-01-01 21:12:25.429511480,False,,2024-01-01,Monday,False
FL01010080,B737,2024-01-01 21:12:59,2024-01-01 22:06:59,remote_stand_12,189,True,3.8678107774682764,2024-01-01 21:16:51.068646650,False,,2024-01-01,Monday,False
FL01010106,A350,2024-01-01 22:08:57,2024-01-01 23:50:57,terminal_B_gate_1,366,False,9.552625979641086,2024-01-01 22:18:30.157558776,False,,2024-01-01,Monday,False
FL01010092,A320,2024-01-01 22:17:40,2024-01-01 23:11:40,remote_stand_3,180,False,4.684133434337298,2024-01-01 22:22:21.048006058,False,,2024-01-01,Monday,False
FL01010001,B737,2024-01-01 22:52:16,2024-01-01 23:46:16,terminal_B_gate_2,189,False,14.11185322888516,2024-01-01 23:06:22.711193734,False,,2024-01-01,Monday,False
FL01010099,B737,2024-01-01 22:58:16,2024-01-01 23:52:16,terminal_A_gate_7,189,False,6.115512863085718,2024-01-01 23:04:22.930771786,True,cargo_unload,2024-01-01,Monday,False
FL01010107,B737,2024-01-01 22:58:56,2024-01-01 23:52:56,terminal_C_gate_8,189,True,25.095134845946422,2024-01-01 23:24:01.708090754,False,,2024-01-01,Monday,False
FL01020073,B737,2024-01-02 06:07:48,2024-01-02 07:01:48,terminal_B_gate_1,189,True,18.418878963405426,2024-01-02 06:26:13.132737804,False,,2024-01-02,Tuesday,False
FL01020034,A320,2024-01-02 06:43:13,2024-01-02 07:37:13,remote_stand_3,180,True,10.755424320450643,2024-01-02 06:53:58.325459230,True,refueling,2024-01-02,Tuesday,False
FL01020016,A321,2024-01-02 07:01:47,2024-01-02 08:01:47,terminal_B_gate_8,220,True,37.54949565293555,2024-01-02 07:39:19.969739174,False,,2024-01-02,Tuesday,False
FL01020031,A321,2024-01-02 07:19:28,2024-01-02 08:19:28,remote_stand_3,220,False,9.069341127277355,2024-01-02 07:28:32.160467638,False,,2024-01-02,Tuesday,False
FL01020014,B777,2024-01-02 07:35:53,2024-01-02 09:23:53,terminal_B_gate_2,396,False,10.2267409306471,2024-01-02 07:46:06.604455836,False,,2024-01-02,Tuesday,False
FL01020050,B737,2024-01-02 07:42:22,2024-01-02 08:36:22,terminal_A_gate_10,189,True,2.587779609402469,2024-01-02 07:44:57.266776564,False,,2024-01-02,Tuesday,False
FL01020006,A350,2024-01-02 07:44:03,2024-01-02 09:26:03,terminal_D_gate_1,366,True,3.640843808511142,2024-01-02 07:47:41.450628510,False,,2024-01-02,Tuesday,False
FL01020009,A321,2024-01-02 07:44:39,2024-01-02 08:44:39,terminal_B_gate_6,220,False,10.488247014675622,2024-01-02 07:55:08.294820882,False,,2024-01-02,Tuesday,False
FL01020105,A350,2024-01-02 07:49:52,2024-01-02 09:31:52,terminal_D_gate_5,366,True,15.21901650942972,2024-01-02 08:05:05.140990564,False,,2024-01-02,Tuesday,False
FL01020027,A320,2024-01-02 07:52:20,2024-01-02 08:46:20,remote_stand_4,180,True,1.9436640442667033,2024-01-02 07:54:16.619842658,False,,2024-01-02,Tuesday,False
FL01020104,A320,2024-01-02 07:53:17,2024-01-02 08:47:17,remote_stand_6,180,True,22.345503542257084,2024-01-02 08:15:37.730212538,False,,2024-01-02,Tuesday,False
FL01020019,A320,2024-01-02 08:01:37,2024-01-02 08:55:37,terminal_C_gate_2,180,True,10.40478613091623,2024-01-02 08:12:01.287167854,False,,2024-01-02,Tuesday,False
FL01020071,A320,2024-01-02 08:21:00,2024-01-02 09:15:00,remote_stand_4,180,False,5.619882023015219,2024-01-02 08:26:37.192921380,False,,2024-01-02,Tuesday,False
FL01020004,A321,2024-01-02 08:32:04,2024-01-02 09:32:04,terminal_C_gate_8,220,True,9.067104035723242,2024-01-02 08:41:08.026242141,False,,2024-01-02,Tuesday,False
FL01020045,A320,2024-01-02 08:34:48,2024-01-02 09:28:48,terminal_A_gate_11,180,False,1.002477323637354,2024-01-02 08:35:48.148639416,False,,2024-01-02,Tuesday,False
FL01020070,A320,2024-01-02 08:38:42,2024-01-02 09:32:42,terminal_A_gate_8,180,True,10.564992537193234,2024-01-02 08:49:15.899552232,False,,2024-01-02,Tuesday,False
FL01020083,B777,2024-01-02 08:39:01,2024-01-02 10:27:01,terminal_A_gate_6,396,True,2.943244529406919,2024-01-02 08:41:57.594671764,False,,2024-01-02,Tuesday,False
FL01020062,A320,2024-01-02 08:55:44,2024-01-02 09:49:44,remote_stand_1,180,False,13.121252011054382,2024-01-02 09:08:51.275120666,False,,2024-01-02,Tuesday,False
FL01020107,B737,2024-01-02 08:56:49,2024-01-02 09:50:49,terminal_B_gate_4,189,True,2.791198349836754,2024-01-02 08:59:36.471900988,False,,2024-01-02,Tuesday,False
FL01020080,A321,2024-01-02 08:58:12,2024-01-02 09:58:12,terminal_C_gate_5,220,True,37.372066373323534,2024-01-02 09:35:34.323982398,False,,2024-01-02,Tuesday,False
FL01020003,A350,2024-01-02 09:10:29,2024-01-02 10:52:29,terminal_B_gate_5,366,True,3.6569776768045257,2024-01-02 09:14:08.418660608,False,,2024-01-02,Tuesday,False
FL01020028,A320,2024-01-02 09:30:44,2024-01-02 10:24:44,terminal_B_gate_10,180,True,7.1811969211219475,2024-01-02 09:37:54.871815266,False,,2024-01-02,Tuesday,False
FL01020030,B777,2024-01-02 09:46:49,2024-01-02 11:34:49,terminal_B_gate_9,396,False,10.245656228930178,2024-01-02 09:57:03.739373734,False,,2024-01-02,Tuesday,False
FL01020039,A350,2024-01-02 09:54:00,2024-01-02 11:36:00,terminal_C_gate_1,366,True,1.389068147904354,2024-01-02 09:55:23.344088874,False,,2024-01-02,Tuesday,False
FL01020058,B737,2024-01-02 10:26:53,2024-01-02 11:20:53,terminal_A_gate_12,189,True,1.5015571546650286,2024-01-02 10:28:23.093429281,False,,2024-01-02,Tuesday,False
FL01020011,A321,2024-01-02 10:30:20,2024-01-02 11:30:20,remote_stand_9,220,True,8.165216360878741,2024-01-02 10:38:29.912981654,False,,2024-01-02,Tuesday,False
FL01020036,A321,2024-01-02 10:35:56,2024-01-02 11:35:56,terminal_B_gate_2,220,True,5.878112672418624,2024-01-02 10:41:48.686760344,False,,2024-01-02,Tuesday,False
FL01020043,A320,2024-01-02 10:59:44,2024-01-02 11:53:44,terminal_D_gate_1,180,True,2.6199110897509237,2024-01-02 11:02:21.194665388,False,,2024-01-02,Tuesday,False
FL01020024,B737,2024-01-02 11:26:51,2024-01-02 12:20:51,terminal_A_gate_10,189,True,13.225250516156983,2024-01-02 11:40:04.515030972,False,,2024-01-02,Tuesday,False
FL01020063,B737,2024-01-02 11:29:53,2024-01-02 12:23:53,terminal_C_gate_7,189,False,4.787501901814377,2024-01-02 11:34:40.250114108,False,,2024-01-02,Tuesday,False
FL01020010,B737,2024-01-02 11:39:38,2024-01-02 12:33:38,terminal_A_gate_7,189,False,2.9041718181353127,2024-01-02 11:42:32.250309086,False,,2024-01-02,Tuesday,False
FL01020023,A320,2024-01-02 11:51:57,2024-01-02 12:45:57,terminal_A_gate_11,180,True,10.614595414403937,2024-01-02 12:02:33.875724864,False,,2024-01-02,Tuesday,False
FL01020065,A320,2024-01-02 12:17:59,2024-01-02 13:11:59,remote_stand_14,180,True,5.611486411068448,2024-01-02 12:23:35.689184666,False,,2024-01-02,Tuesday,False
FL01020109,B777,2024-01-02 12:25:37,2024-01-02 14:13:37,terminal_A_gate_6,396,False,14.469155708132382,2024-01-02 12:40:05.149342486,False,,2024-01-02,Tuesday,False
FL01020054,A320,2024-01-02 12:37:24,2024-01-02 13:31:24,terminal_C_gate_2,180,True,6.322604519149091,2024-01-02 12:43:43.356271146,False,,2024-01-02,Tuesday,False
FL01020022,A320,2024-01-02 12:54:03,2024-01-02 13:48:03,remote_stand_15,180,True,9.24355994748666,2024-01-02 13:03:17.613596850,False,,2024-01-02,Tuesday,False
FL01020037,B777,2024-01-02 13:02:57,2024-01-02 14:50:57,terminal_B_gate_10,396,True,5.13953565679505,2024-01-02 13:08:05.372139407,False,,2024-01-02,Tuesday,False
FL01020085,B777,2024-01-02 13:04:18,2024-01-02 14:52:18,terminal_A_gate_10,396,True,10.941139029799148,2024-01-02 13:15:14.468341788,False,,2024-01-02,Tuesday,False
FL01020026,A320,2024-01-02 13:07:11,2024-01-02 14:01:11,terminal_C_gate_8,180,False,4.3358590854072565,2024-01-02 13:11:31.151545124,False,,2024-01-02,Tuesday,False
